scrape_datetime,article_name,publish_date,item_brand,item_description,discount,discount_cleaned,count_limit,channel,discount_period,item_original_price,source_url
2025-05-14 12:30:04.822,Costco August 2023 Hot Buys Coupons,2023-08-01,Wareb,use 0n1y? Kirk1and $ignature Choco1ate: A1mond Oip,,,,In-Warehouse,August 26th through September 4th,,https://www.costcoinsider.com/wp-content/uploads/2023/08/Costco-August-2023-Hot-Buys-Coupons-Page-1-635x656.jpg
2025-05-14 12:30:05.863,Costco August 2023 Hot Buys Coupons,2023-08-01,Warehouse,"0n1y? ‘fiobant Low Fat 6reek Yogtirt Orink, Var1et",,,,In-Warehouse,August 26th through September 4th,$3.80,https://www.costcoinsider.com/wp-content/uploads/2023/08/Costco-August-2023-Hot-Buys-Coupons-Page-2-635x674.jpg
2025-05-14 12:30:06.863,Costco August 2023 Hot Buys Coupons,2023-08-01,Warehouse,0n1y: ‘Waréhouse 0n1y “Jongga Napa'Cabbage Kimchi’,,,,In-Warehouse,August 26th through September 4th,$4.99,https://www.costcoinsider.com/wp-content/uploads/2023/08/Costco-August-2023-Hot-Buys-Coupons-Page-3-635x646.jpg
2025-05-14 12:30:07.629,Costco August 2023 Hot Buys Coupons,2023-08-01,In,0n1 e 0n1 e. ‘Kirk1and $ignaturg Oai1y Facia1 ids ,,,,In-Warehouse,August 26th through September 4th,$99.99,https://www.costcoinsider.com/wp-content/uploads/2023/08/Costco-August-2023-Hot-Buys-Coupons-Page-4-635x670.jpg
2025-05-14 12:30:08.392,Costco August 2023 Hot Buys Coupons,2023-08-01,In,s 0n1 é? ‘Warehoiise% 0n1 a Warehauge' 0n1 e 8pson,,,,In-Warehouse,August 26th through September 4th,$299.99,https://www.costcoinsider.com/wp-content/uploads/2023/08/Costco-August-2023-Hot-Buys-Coupons-Page-5-635x670.jpg
2025-05-14 12:30:28.050,Costco October 2023 Hot Buys Coupons,2023-10-01,Ic,P0$ 0IN$IO8RO,,,,,October 7th through October 15th,,https://www.costcoinsider.com/wp-content/themes/Selin5.4/images/Costco-Insider4.png
2025-05-14 12:30:30.001,Costco October 2023 Hot Buys Coupons,2023-10-01,In,L<$ WAR8H0U$8 Na1id:40/7/23 4 0/IS/23,,,,,October 7th through October 15th,,https://www.costcoinsider.com/wp-content/uploads/2023/10/Costco-October-2023-Hot-Buys-Coupons-Cover.jpg
2025-05-14 12:30:36.173,Costco October 2023 Hot Buys Coupons,2023-10-01,Warehouse,0n1y. Kirk1and $ignatire 6ourmet ‘Choco1ate Chunk ,,,,In-Warehouse,October 7th through October 15th,,https://www.costcoinsider.com/wp-content/uploads/2023/10/Costco-October-2023-Hot-Buys-Coupons-Page-3-635x660.jpg
2025-05-14 12:30:37.708,Costco October 2023 Hot Buys Coupons,2023-10-01,Onos Move,S9.09 After $IS 0FF {$peaker 1ab1e Wire1ess LIMII ,,,,,October 7th through October 15th,$299.99,https://www.costcoinsider.com/wp-content/uploads/2023/10/Costco-October-2023-Hot-Buys-Coupons-Page-4-635x666.jpg
2025-05-14 12:30:44.293,Costco November 2023 Hot Buys Coupons,2023-11-01,Ic,P0$ 0IN$IO8RO,,,,,November 11th through November 19th,,https://www.costcoinsider.com/wp-content/themes/Selin5.4/images/Costco-Insider4.png
