scrape_datetime,article_name,publish_date,item_brand,item_description,discount,discount_cleaned,count_limit,channel,discount_period,item_original_price,source_url
2025-05-14 12:16:44.631,Costco May 2025 Hot Buys Coupons,2025-05-14,Ic,P0$ 0IN$IO8RO,,,,,Unknown,,https://www.costcoinsider.com/wp-content/themes/Selin5.4/images/Costco-Insider4.png
2025-05-14 12:16:46.591,Costco May 2025 Hot Buys Coupons,2025-05-14,Va,1id 4/28/2S S/II/2S,,,,,Unknown,,https://www.costcoinsider.com/wp-content/uploads/2025/04/Costco-May-2025-Hot-Buys-Coupons-Cover.jpg
2025-05-14 12:16:49.701,Costco May 2025 Hot Buys Coupons,2025-05-14,In,WAR8H0U$8 0NL 8 $4 0FF Aiiestver Youth 3 Piece $wi,,,,,Unknown,,https://www.costcoinsider.com/wp-content/uploads/2025/04/Costco-May-2025-Hot-Buys-Coupons-Page-3-635x246.jpg
