Item,Brand,Discount,Price,Limit,Valid From,Valid To,Source
"The April Costco Hot Buys Ad has 26 regular deals, 3 travel hot buys and 4 pharmacy hot buys. Our favorite item this month is the Wonderful Pistachios Salt and Pepper at $4 off! They are so tasty and a great deal. A lot of Costco members are big fans of the Yardistry 12′ x 14′ Gazebo with Aluminum Roof. At $300 off this is the best time to buy it if you’re considering it. We’re also excited about the Waterloo Sparkling Water Variety Pack. We haven’t seen it with the Raspberry Nectarine flavor before.",The,$4,,,,,https://www.costcoinsider.com/costco-april-2025-hot-buys-coupons/
"Charmin Ultra Soft Bath Tissue, 2-Ply, 213 Sheets, 30 Rolls $6 off",Charmin,$6,,,,,https://www.costcoinsider.com/costco-april-2025-hot-buys-coupons/
Yardistry 12′ x 14′ Gazebo with Aluminum Roof $300 off,Yardistry,$300,,,,,https://www.costcoinsider.com/costco-april-2025-hot-buys-coupons/
"SunVilla Nichols 7-Piece Sling Outdoor Dining Set $1,199.99 – $200 off = $999.99",SunVilla,$200,$999.99,,,,https://www.costcoinsider.com/costco-april-2025-hot-buys-coupons/
Dyson Cyclone V10 Animal + Cordless Vacuum Cleaner $100 off,Dyson,$100,,,,,https://www.costcoinsider.com/costco-april-2025-hot-buys-coupons/
"Wonderful Pistachios, Salt and Pepper, 3 lbs $4 off",Wonderful,$4,,,,,https://www.costcoinsider.com/costco-april-2025-hot-buys-coupons/
PuraVida Fire Roasted Primavera Mistura $4 off,PuraVida,$4,,,,,https://www.costcoinsider.com/costco-april-2025-hot-buys-coupons/
Waterloo Sparkling Water Variety Pack 24ct $2.50 off,Waterloo,$2.50,$2.50,,,,https://www.costcoinsider.com/costco-april-2025-hot-buys-coupons/
